138.06	5.91	88.20
139.25	5.91	90.37
140.62	5.91	92.24
142.10	5.91	93.79
143.60	5.91	95.00
145.05	5.90	95.86
146.36	5.90	96.33
147.36	5.90	96.21
148.10	5.90	95.77
148.62	5.89	95.21
148.93	5.89	94.98
149.01	5.89	94.79
148.86	5.89	94.43
148.38	5.88	93.44
147.66	5.88	92.09
146.83	5.88	90.66
146.04	5.88	89.46
145.37	5.87	88.64
144.68	5.87	87.97
143.94	5.87	87.43
143.04	5.87	86.95
142.05	5.86	86.54
141.06	5.86	86.19
140.09	5.86	85.88
139.26	5.86	85.57
138.49	5.85	85.30
137.76	5.85	85.07
137.08	5.85	84.85
136.43	5.85	84.66
135.83	5.84	84.60
135.27	5.84	84.73
134.74	5.84	85.50
134.27	5.84	86.36
133.86	5.83	87.07
133.40	5.83	86.84
133.02	5.83	86.05
132.95	5.83	85.50
133.47	5.82	86.09
134.63	5.82	87.90
136.20	5.82	90.13
138.14	5.82	92.36
140.37	5.82	94.43
142.71	5.82	96.35
145.05	5.82	98.12
147.26	5.82	99.56
149.18	5.82	100.46
150.65	5.82	100.47
151.55	5.83	99.63
151.76	5.83	97.96
150.52	5.83	94.83
148.59	5.83	91.06
146.45	5.83	87.22
145.32	5.83	84.75
145.12	5.83	83.57
145.22	5.83	83.02
145.47	5.83	82.96
145.72	5.83	83.25
145.27	5.83	83.63
144.65	5.83	84.10
143.94	5.83	84.59
143.14	5.83	84.99
142.33	5.83	84.94
141.51	5.83	84.47
140.65	5.83	83.89
139.77	5.84	83.27
138.83	5.84	82.70
137.85	5.84	82.26
136.89	5.84	81.95
135.99	5.84	81.83
135.22	5.84	82.11
134.57	5.84	82.68
133.98	5.84	83.35
133.44	5.84	84.03
132.85	5.84	84.44
132.32	5.84	84.79
131.88	5.84	85.09
131.42	5.84	85.16
131.05	5.84	85.15
131.04	5.84	85.40
131.67	5.84	86.27
133.24	5.84	88.16
135.17	5.84	90.33
137.27	5.84	92.51
139.26	5.84	94.35
141.23	5.84	96.00
143.11	5.84	97.47
144.87	5.83	98.79
146.33	5.83	99.57
147.34	5.83	99.42
147.70	5.83	97.88
147.52	5.82	95.66
146.67	5.82	93.01
144.83	5.82	90.15
142.64	5.82	87.30
140.37	5.81	84.67
138.99	5.81	83.11
138.33	5.81	82.47
137.92	5.81	82.29
137.65	5.81	82.45
137.39	5.80	82.84
136.59	5.80	83.10
135.60	5.80	83.36
134.57	5.80	83.64
133.51	5.79	83.90
132.49	5.79	84.07
131.58	5.79	84.03
130.73	5.79	83.93
129.95	5.78	83.78
129.25	5.78	83.60
128.73	5.78	83.38
128.31	5.78	83.16
127.92	5.78	83.00
127.53	5.77	82.94
127.00	5.77	83.21
126.44	5.77	83.60
125.90	5.77	83.98
125.41	5.76	84.21
124.99	5.76	83.92
124.67	5.76	83.66
124.47	5.76	83.59
124.39	5.75	84.09
124.48	5.75	85.11
124.82	5.75	86.43
125.53	5.75	88.00
126.76	5.75	89.78
128.16	5.75	91.69
129.60	5.76	93.67
130.86	5.76	95.84
132.03	5.76	97.74
133.10	5.76	99.17
134.12	5.77	99.31
134.90	5.77	98.92
135.37	5.78	98.19
135.14	5.78	97.50
134.51	5.78	96.73
133.65	5.79	95.89
132.74	5.79	95.05
131.86	5.79	94.21
130.96	5.80	93.36
130.08	5.80	92.49
129.20	5.80	91.34
128.40	5.80	90.20
127.74	5.81	89.32
127.30	5.81	88.87
127.35	5.81	89.78
127.58	5.82	90.93
127.93	5.82	92.04
128.30	5.82	92.27
128.67	5.83	91.84
128.99	5.83	91.33
129.22	5.83	91.14
129.28	5.84	91.71
129.23	5.84	92.40
129.06	5.84	93.07
128.73	5.85	93.27
128.30	5.85	93.26
127.80	5.85	93.14
127.24	5.86	92.97
126.66	5.86	92.80
126.06	5.86	92.60
125.45	5.87	92.39
124.87	5.87	92.20
124.30	5.87	92.03
123.74	5.88	91.85
123.17	5.88	91.67
122.49	5.88	91.40
121.84	5.89	91.16
121.25	5.89	90.97
120.75	5.89	90.87
120.37	5.89	90.87
120.19	5.90	91.06
120.26	5.90	91.50
120.77	5.90	92.52
121.59	5.91	93.84
122.64	5.91	95.23
123.90	5.91	96.52
125.30	5.92	97.58
126.68	5.92	98.33
127.88	5.92	98.63
128.68	5.93	98.15
129.25	5.93	97.30
129.59	5.93	96.20
129.67	5.94	95.05
129.56	5.94	93.84
129.31	5.94	92.60
129.00	5.95	91.44
128.67	5.95	90.46
128.27	5.95	89.49
127.82	5.96	88.51
127.29	5.96	87.34
126.70	5.96	86.07
126.05	5.97	84.82
125.35	5.97	83.65
124.40	5.97	82.56
123.49	5.98	81.68
122.73	5.98	81.08
122.32	5.98	80.95
122.41	5.98	81.42
122.79	5.98	82.17
123.43	5.98	83.11
124.30	5.98	84.00
125.37	5.98	84.97
126.61	5.97	86.07
